,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
2798,桑落瓦解,idiom,1.0,1.0,NB,5,0,,,,,
2799,不速之客,idiom,1.0,1.0,NN,3,0,,,,,
2800,天壤王朗,idiom,1.0,1.0,NJ,1,2,,,,,
2801,化为乌有,idiom,1.0,1.0,NJ,5,0,,,,,
2803,金屋藏娇,idiom,1.0,1.0,NN,3,2,,,,,
2804,悬驼就石,idiom,1.0,1.0,NE,3,2,NN,3.0,2.0,,
2805,血流成河,idiom,1.0,1.0,NB,5,2,,,,,
2806,寻章摘句,idiom,1.0,1.0,NN,3,2,ND,1.0,2.0,,
2807,废话连篇,idiom,1.0,1.0,NN,5,2,,,,,
2808,长枕大被,idiom,1.0,1.0,PH,5,1,,,,,
2809,眉来眼去,idiom,1.0,1.0,NN,3,2,,,,,
2810,酒逢知己千钟少,idiom,1.0,1.0,PA,5,0,,,,,
2811,绾角弟兄,idiom,1.0,1.0,PB,5,1,,,,,
2812,总角之交,idiom,1.0,1.0,PB,5,1,,,,,
2813,意料之外,idiom,1.0,1.0,PC,3,0,NI,3.0,0.0,,
2814,迅雷不及掩耳,idiom,1.0,1.0,PC,5,0,,,,,
2815,门无杂宾,idiom,1.0,1.0,PH,3,1,,,,,
2816,泛泛之交,idiom,1.0,1.0,PE,1,0,,,,,
2817,解甲归田,idiom,1.0,1.0,PE,3,0,PA,3.0,0.0,,
2818,不忘故旧,idiom,1.0,1.0,PF,3,0,,,,,
2819,峨冠博带,idiom,1.0,1.0,PH,1,0,,,,,
2820,粉白黛黑,idiom,1.0,1.0,PB,1,0,,,,,
2821,不差毫发,idiom,1.0,1.0,PH,3,1,,,,,
2822,芝兰玉树,idiom,1.0,1.0,PH,3,1,,,,,
2823,百年偕老,idiom,1.0,1.0,PH,5,1,,,,,
2824,琴瑟和同,idiom,1.0,1.0,PH,5,1,,,,,
2825,格物致知,idiom,1.0,1.0,PH,1,0,,,,,
2826,追根究底,idiom,1.0,1.0,PH,3,0,,,,,
2827,满城风雨,idiom,1.0,1.0,NN,5,2,,,,,
2828,分毫不差,idiom,1.0,1.0,PH,3,1,,,,,
2829,反间之计,idiom,1.0,1.0,PH,1,0,,,,,
2831,触类旁通,idiom,1.0,1.0,PH,1,1,,,,,
2832,怀铅提椠,idiom,1.0,1.0,PH,1,1,,,,,
2833,炳炳麟磷,idiom,1.0,1.0,PH,3,1,,,,,
2834,夺胎换骨,idiom,1.0,1.0,PH,5,1,,,,,
2835,戞戛独造,idiom,1.0,1.0,PH,3,1,,,,,
2836,口不应心,idiom,1.0,1.0,NN,5,2,,,,,
2837,不避艰险,idiom,1.0,1.0,PH,7,1,PD,3.0,1.0,,
2838,奋勇直前,idiom,1.0,1.0,PH,5,1,PD,3.0,1.0,,
2839,死不旋踵,idiom,1.0,1.0,PH,9,1,,,,,
2840,不食周粟,idiom,1.0,1.0,PH,7,1,,,,,
2842,绝少分甘,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
2844,敬恭桑梓,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
2845,礼贤下士,idiom,1.0,1.0,PD,7,1,,,,,
2846,礼让为国,idiom,1.0,1.0,PH,7,1,,,,,
2847,虚己受人,idiom,1.0,1.0,PH,3,1,,,,,
2849,不伐其功,idiom,1.0,1.0,PH,3,1,,,,,
2850,雕虫小技,idiom,1.0,1.0,NN,5,2,,,,,
2851,抛砖引玉,idiom,1.0,1.0,PD,3,1,,,,,
2852,昂头天外,idiom,1.0,1.0,NN,5,2,,,,,
2853,伐功矜能,idiom,1.0,1.0,NN,5,2,,,,,
2854,倔强倨傲,idiom,1.0,1.0,NN,5,2,,,,,
2855,自恃其才,idiom,1.0,1.0,NN,5,2,,,,,
2856,贪名逐利,idiom,1.0,1.0,NN,7,2,,,,,
2857,规求无度,idiom,1.0,1.0,NN,5,2,ND,5.0,2.0,,
2858,贪而无信,idiom,1.0,1.0,NN,7,2,ND,3.0,2.0,,
2859,雁过拔毛,idiom,1.0,1.0,NN,7,2,,,,,
2860,嗷嗷的,nw,1.0,1.0,PH,7,1,,,,,
2862,B4,nw,1.0,1.0,NN,7,2,,,,,
2863,bt,nw,1.0,1.0,NN,5,3,PB,3.0,3.0,,
2865,哈哈,nw,1.0,1.0,PA,7,1,,,,,
2866,pf,nw,1.0,1.0,PH,5,1,,,,,
2867,有形,nw,1.0,1.0,PH,3,1,,,,,
2868,haha,nw,1.0,1.0,PA,5,1,,,,,
2869,cool,nw,1.0,1.0,PH,5,1,PB,5.0,1.0,,
2870,Cool毙,nw,1.0,1.0,PH,7,1,PB,7.0,1.0,,
2871,歇菜,nw,1.0,1.0,NB,3,2,,,,,
2872,無語,nw,1.0,1.0,NJ,5,2,,,,,
2873,3x,nw,1.0,1.0,PD,3,1,,,,,
2874,kao,nw,1.0,1.0,,5,2,,,,,
2875,gun,nw,1.0,1.0,,5,2,,,,,
2876,爆强,nw,1.0,1.0,PH,7,1,,,,,
2877,呵呵,nw,1.0,1.0,PA,3,0,,,,,
2878,故步自封,idiom,1.0,1.0,NN,5,2,,,,,
2879,花天酒地,idiom,1.0,1.0,NN,7,2,,,,,
2880,混淆是非,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
2881,吹嘘,verb,1.0,1.0,NN,3,2,,,,,
2882,得陇望蜀,idiom,1.0,1.0,NN,5,2,,,,,
2883,烦琐,adj,1.0,1.0,NE,3,2,NN,1.0,2.0,,
2884,恐吓,verb,1.0,1.0,NN,5,2,,,,,
2885,神经兮兮,adj,1.0,1.0,NN,3,2,,,,,
2887,劳民伤财,idiom,1.0,1.0,NN,7,2,,,,,
2888,自鸣得意,idiom,1.0,1.0,NN,5,2,,,,,
2889,谩骂,verb,1.0,1.0,NN,5,2,,,,,
2890,蒙蔽,verb,1.0,1.0,NN,1,2,,,,,
2891,谬论,noun,1.0,1.0,NN,5,2,,,,,
2892,捏造,verb,1.0,1.0,NN,3,2,,,,,
2893,冷若冰霜,idiom,1.0,1.0,NN,1,2,NC,5.0,2.0,,
2894,凶狠,adj,1.0,1.0,NN,5,2,NC,5.0,2.0,,
2895,凶暴,adj,1.0,1.0,NN,7,2,NC,7.0,2.0,,
2896,片面,adj,1.0,1.0,NN,5,2,,,,,
2897,欺骗,verb,1.0,1.0,NN,3,2,,,,,
2898,黔驴技穷,idiom,1.0,1.0,NN,5,2,,,,,
2899,巧言令色,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
2900,自负,adj,1.0,1.0,NN,7,2,,5.0,2.0,,
2901,辱骂,verb,1.0,1.0,NN,5,2,,,,,
2902,好色,adj,1.0,1.0,NN,7,2,,,,,
2903,战争贩子,noun,1.0,1.0,NN,3,2,,,,,
2904,虚荣,noun,1.0,1.0,NN,7,2,ND,5.0,2.0,,
2905,贪婪,adj,1.0,1.0,NN,7,2,NE,1.0,2.0,,
2906,怨天尤人,idiom,1.0,1.0,NN,5,2,,,,,
2907,挑拨,verb,1.0,1.0,NN,5,2,,,,,
2908,拖拉,adj,1.0,1.0,NN,3,2,,,,,
2909,文抄公,noun,1.0,1.0,NN,5,2,,,,,
2910,无孔不入,idiom,1.0,1.0,NN,5,0,,,,,
2911,武断,adj,1.0,1.0,NN,5,2,,,,,
2912,嫌疑犯,noun,1.0,1.0,NN,1,2,,,,,
2913,一毛不拔,idiom,1.0,1.0,NN,7,2,,,,,
2914,迂腐,adj,1.0,1.0,NN,7,2,NE,3.0,2.0,,
2915,趾高气扬,idiom,1.0,1.0,NN,5,2,,,,,
2916,失节,verb,1.0,1.0,NN,5,2,ND,7.0,2.0,,
2917,歹毒,adj,1.0,1.0,NN,9,2,,,,,
2918,鬼蜮,adj,1.0,1.0,NN,7,2,,,,,
2919,不端,adj,1.0,1.0,NN,5,2,,,,,
2920,奸猾,adj,1.0,1.0,NN,7,2,,,,,
2921,权诈,adj,1.0,1.0,NN,7,2,,,,,
2922,缺德,adj,1.0,1.0,NN,7,2,,,,,
2923,怯弱,adj,1.0,1.0,NN,5,2,,,,,
2924,高慢,adj,1.0,1.0,NN,7,2,,,,,
2925,翘尾巴,adj,1.0,1.0,NN,5,2,ND,3.0,2.0,,
2926,好为人师,idiom,1.0,1.0,NN,5,2,,,,,
2927,褊急,adj,1.0,1.0,NN,3,2,,,,,
2929,小气,adj,1.0,1.0,NN,7,2,ND,3.0,2.0,,
2930,劣根性,noun,1.0,1.0,NN,7,2,,5.0,2.0,,
2931,不公,adj,1.0,1.0,NN,3,2,,,,,
2932,隔岸观火,idiom,1.0,1.0,NN,7,2,,,,,
2933,板滞,adj,1.0,1.0,NN,3,2,NE,3.0,2.0,,
2934,粗鄙,adj,1.0,1.0,NN,7,2,,,,,
2935,横行霸道,idiom,1.0,1.0,NN,7,2,ND,7.0,2.0,,
2937,鲁莽,adj,1.0,1.0,NN,5,2,,,,,
2938,粗笨,adj,1.0,1.0,NN,5,2,,,,,
2940,左顾右盼,idiom,1.0,1.0,NN,1,2,,,,,
2941,拙笨,adj,1.0,1.0,NN,5,2,,,,,
2942,佻达,adj,1.0,1.0,NN,5,2,,,,,
2943,放荡,adj,1.0,1.0,NN,5,2,,,,,
2944,粗心,adj,1.0,1.0,NN,3,2,,,,,
2945,娇痴,adj,1.0,1.0,NN,1,0,PB,3.0,0.0,,
2946,单调,adj,1.0,1.0,NE,3,2,,,,,
2947,丢三落四,idiom,1.0,1.0,NN,5,2,,,,,
2948,松懈,adj,1.0,1.0,NN,3,2,ND,5.0,2.0,,
